Date,aapl,binned_returns
2020-08-07,-0.02299819880318156,5
2020-08-10,0.014430239663365983,12
2020-08-11,-0.03019114024463018,4
2020-08-12,0.03269396123508575,15
2020-08-13,0.017542780817640335,13
2020-08-14,-0.0008915449900186337,9
2020-08-17,-0.002614153092908373,9
2020-08-18,0.008298166091029641,11
2020-08-19,0.0012539479511853606,10
2020-08-20,0.02194699183556365,13
2020-08-21,0.05024850245756356,19
2020-08-24,0.01188938154739905,12
2020-08-25,-0.008237599384804761,8
2020-08-26,0.013507598658220835,12
2020-08-27,-0.01202659248971445,7
2020-08-28,-0.001621176928746349,9
2020-08-31,0.03334991207460149,16
2020-09-01,0.039059590748328564,17
2020-09-02,-0.020935803977328186,6
2020-09-03,-0.08344797954098453,0
2020-09-04,0.0006617781412481674,10
